ID,Por favor seleccione el Área que le prestó el servicio solicitado,¿Cuál su nivel de satisfacción con la atención prestada en la entidad?,¿Qué probabilidades hay de que nos recomiendes a un amigo o compañero?,"En que nivel (o muy bajo, 5 muy alto) calificaría la atención de la persona que lo(a) atendió?",Claridad en la información,Oportunidad en la atención,Rapidez en el servicio,¿Hemos cumplido sus expectativas? Nuestro servicio le ha parecido
1,Contratación Estatal  Medio Ambiente e Ingeniería  (CEMAI),8,9,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Tal y como lo esperaba
2,Contratación Estatal  Medio Ambiente e Ingeniería  (CEMAI),9,8,5,Satisfecho,Satisfecho,Satisfecho,Tal y como lo esperaba
3,Participación Ciudadana,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Mejor de lo que esperaba
4,Participación Ciudadana,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Mejor de lo que esperaba
5,Participación Ciudadana,10,10,5,Satisfecho,Muy Satisfecho,Muy Satisfecho,Mejor de lo que esperaba
6,Participación Ciudadana,10,10,5,Satisfecho,Satisfecho,Satisfecho,Tal y como lo esperaba
7,Participación Ciudadana,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Mejor de lo que esperaba
8,Participación Ciudadana,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Tal y como lo esperaba
9,Participación Ciudadana,10,6,5,Satisfecho,Muy Satisfecho,Muy Satisfecho,Tal y como lo esperaba
10,Participación Ciudadana,10,10,4,Satisfecho,Muy Satisfecho,Muy Satisfecho,Mejor de lo que esperaba
11,Dirección Administrativa,10,10,5,Muy Satisfecho,Satisfecho,Muy Satisfecho,Mejor de lo que esperaba
12,Despacho del Personero,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Mejor de lo que esperaba
13,Participación Ciudadana,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,No tenía expectativas
14,Participación Ciudadana,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Mejor de lo que esperaba
15,Participación Ciudadana,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Tal y como lo esperaba
16,Participación Ciudadana,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Mejor de lo que esperaba
17,Participación Ciudadana,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Mejor de lo que esperaba
18,Participación Ciudadana,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Mejor de lo que esperaba
19,Participación Ciudadana,10,10,5,Satisfecho,Satisfecho,Satisfecho,Mejor de lo que esperaba
20,Participación Ciudadana,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Mejor de lo que esperaba
21,Derechos Humanos,10,10,5,Muy Satisfecho,Muy Satisfecho,Satisfecho,Mejor de lo que esperaba
22,Derechos Humanos,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Mejor de lo que esperaba
23,Vigilancia Administrativa y Disciplinaria (AVAD),10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Mejor de lo que esperaba
24,Contratación Estatal  Medio Ambiente e Ingeniería  (CEMAI),9,10,5,Muy Satisfecho,Muy Satisfecho,Satisfecho,Mejor de lo que esperaba
25,Contratación Estatal  Medio Ambiente e Ingeniería  (CEMAI),7,6,3,Satisfecho,Satisfecho,Satisfecho,Tal y como lo esperaba
26,Contratación Estatal  Medio Ambiente e Ingeniería  (CEMAI),10,10,5,Satisfecho,Satisfecho,Satisfecho,Tal y como lo esperaba
27,Contratación Estatal  Medio Ambiente e Ingeniería  (CEMAI),9,9,5,Satisfecho,Satisfecho,Satisfecho,Tal y como lo esperaba
28,Contratación Estatal  Medio Ambiente e Ingeniería  (CEMAI),5,4,3,Satisfecho,Satisfecho,Satisfecho,Tal y como lo esperaba
29,Derechos Humanos,10,8,5,Muy Satisfecho,Satisfecho,Muy Satisfecho,Mejor de lo que esperaba
30,Contratación Estatal  Medio Ambiente e Ingeniería  (CEMAI),10,8,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Mejor de lo que esperaba
31,Participación Ciudadana,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Mejor de lo que esperaba
32,Participación Ciudadana,9,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Tal y como lo esperaba
66,Penal,10,10,5,Satisfecho,Muy Satisfecho,Muy Satisfecho,Tal y como lo esperaba
33,Participación Ciudadana,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Mejor de lo que esperaba
34,Participación Ciudadana,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Mejor de lo que esperaba
35,Contratación Estatal  Medio Ambiente e Ingeniería  (CEMAI),8,9,5,Satisfecho,Satisfecho,Satisfecho,Tal y como lo esperaba
36,Participación Ciudadana,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Tal y como lo esperaba
37,Contratación Estatal  Medio Ambiente e Ingeniería  (CEMAI),10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Mejor de lo que esperaba
38,Contratación Estatal  Medio Ambiente e Ingeniería  (CEMAI),8,10,5,Satisfecho,Satisfecho,Satisfecho,Tal y como lo esperaba
39,Participación Ciudadana,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Tal y como lo esperaba
40,Participación Ciudadana,10,10,5,Satisfecho,Satisfecho,Satisfecho,Mejor de lo que esperaba
41,Participación Ciudadana,10,10,5,Satisfecho,Satisfecho,Satisfecho,Tal y como lo esperaba
42,Contratación Estatal  Medio Ambiente e Ingeniería  (CEMAI),10,10,5,Muy Satisfecho,Satisfecho,Muy Satisfecho,Mejor de lo que esperaba
43,Participación Ciudadana,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Mejor de lo que esperaba
44,Derechos Humanos,10,10,5,Muy Satisfecho,Muy Satisfecho,Satisfecho,Mejor de lo que esperaba
45,Derechos Humanos,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Mejor de lo que esperaba
46,Penal,10,10,5,Satisfecho,Satisfecho,Satisfecho,Mejor de lo que esperaba
47,Penal,10,10,5,Satisfecho,Muy Satisfecho,Muy Satisfecho,Tal y como lo esperaba
48,Penal,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Mejor de lo que esperaba
49,Participación Ciudadana,9,9,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Tal y como lo esperaba
50,Participación Ciudadana,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Mejor de lo que esperaba
51,Derechos Humanos,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Tal y como lo esperaba
52,Derechos Humanos,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Mejor de lo que esperaba
53,Participación Ciudadana,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Mejor de lo que esperaba
54,Contratación Estatal  Medio Ambiente e Ingeniería  (CEMAI),10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Tal y como lo esperaba
55,Participación Ciudadana,10,10,5,Satisfecho,Satisfecho,Satisfecho,Mejor de lo que esperaba
56,Derechos Humanos,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Mejor de lo que esperaba
57,Participación Ciudadana,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Mejor de lo que esperaba
58,Participación Ciudadana,9,9,5,Satisfecho,Satisfecho,Satisfecho,Mejor de lo que esperaba
59,Contratación Estatal  Medio Ambiente e Ingeniería  (CEMAI),9,9,4,Satisfecho,Satisfecho,Satisfecho,Mejor de lo que esperaba
60,Contratación Estatal  Medio Ambiente e Ingeniería  (CEMAI),10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Mejor de lo que esperaba
61,Participación Ciudadana,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Mejor de lo que esperaba
62,Participación Ciudadana,10,10,5,Muy Satisfecho,Muy Satisfecho,Muy Satisfecho,Mejor de lo que esperaba
